"id","province_code","city_code","name"
"295","53","5303","KAB. TIMOR TENGAH UTARA"
"296","53","5304","KAB. BELU"
"297","53","5305","KAB. ALOR"
"298","53","5306","KAB. FLORES TIMUR"
"299","53","5307","KAB. SIKKA"
"300","53","5308","KAB. ENDE"
"301","53","5309","KAB. NGADA"
"302","53","5310","KAB. MANGGARAI"
"303","53","5311","KAB. SUMBA TIMUR"
"304","53","5312","KAB. SUMBA BARAT"
"305","53","5313","KAB. LEMBATA"
"306","53","5314","KAB. ROTE NDAO"
"307","53","5315","KAB. MANGGARAI BARAT"
"308","53","5316","KAB. NAGEKEO"
"309","53","5317","KAB. SUMBA TENGAH"
"310","53","5318","KAB. SUMBA BARAT DAYA"
"311","53","5319","KAB. MANGGARAI TIMUR"
"312","53","5320","KAB. SABU RAIJUA"
"313","53","5321","KAB. MALAKA"
"314","53","5371","KOTA KUPANG"
"315","61","6101","KAB. SAMBAS"
"316","61","6102","KAB. MEMPAWAH"
"317","61","6103","KAB. SANGGAU"
"318","61","6104","KAB. KETAPANG"
"319","61","6105","KAB. SINTANG"
"320","61","6106","KAB. KAPUAS HULU"
"321","61","6107","KAB. BENGKAYANG"
"322","61","6108","KAB. LANDAK"
"323","61","6109","KAB. SEKADAU"
"324","61","6110","KAB. MELAWI"
"325","61","6111","KAB. KAYONG UTARA"
"326","61","6112","KAB. KUBU RAYA"
"327","61","6171","KOTA PONTIANAK"
"328","61","6172","KOTA SINGKAWANG"
"329","62","6201","KAB. KOTAWARINGIN BARAT"
"330","62","6202","KAB. KOTAWARINGIN TIMUR"
"331","62","6203","KAB. KAPUAS"
"332","62","6204","KAB. BARITO SELATAN"
"333","62","6205","KAB. BARITO UTARA"
"334","62","6206","KAB. KATINGAN"
"335","62","6207","KAB. SERUYAN"
"336","62","6208","KAB. SUKAMARA"
"337","62","6209","KAB. LAMANDAU"
"338","62","6210","KAB. GUNUNG MAS"
"339","62","6211","KAB. PULANG PISAU"
"340","62","6212","KAB. MURUNG RAYA"
"341","62","6213","KAB. BARITO TIMUR"
"342","62","6271","KOTA PALANGKARAYA"
"343","63","6301","KAB. TANAH LAUT"
"344","63","6302","KAB. KOTABARU"
"345","63","6303","KAB. BANJAR"
"346","63","6304","KAB. BARITO KUALA"
"347","63","6305","KAB. TAPIN"
"348","63","6306","KAB. HULU SUNGAI SELATAN"
"349","63","6307","KAB. HULU SUNGAI TENGAH"
"350","63","6308","KAB. HULU SUNGAI UTARA"
"351","63","6309","KAB. TABALONG"
"352","63","6310","KAB. TANAH BUMBU"
"353","63","6311","KAB. BALANGAN"
"354","63","6371","KOTA BANJARMASIN"
"355","63","6372","KOTA BANJARBARU"
"356","64","6401","KAB. PASER"
"357","64","6402","KAB. KUTAI KARTANEGARA"
"358","64","6403","KAB. BERAU"
"359","64","6407","KAB. KUTAI BARAT"
"360","64","6408","KAB. KUTAI TIMUR"
"361","64","6409","KAB. PENAJAM PASER UTARA"
"362","64","6411","KAB. MAHAKAM ULU"
"363","64","6471","KOTA BALIKPAPAN"
"364","64","6472","KOTA SAMARINDA"
"365","64","6474","KOTA BONTANG"
"366","65","6501","KAB. BULUNGAN"
"367","65","6502","KAB. MALINAU"
"368","65","6503","KAB. NUNUKAN"
"369","65","6504","KAB. TANA TIDUNG"
"370","65","6571","KOTA TARAKAN"
"371","71","7101","KAB. BOLAANG MONGONDOW"
"372","71","7102","KAB. MINAHASA"
"373","71","7103","KAB. KEPULAUAN SANGIHE"
"374","71","7104","KAB. KEPULAUAN TALAUD"
"375","71","7105","KAB. MINAHASA SELATAN"
"376","71","7106","KAB. MINAHASA UTARA"
"377","71","7107","KAB. MINAHASA TENGGARA"
"378","71","7108","KAB. BOLAANG MONGONDOW UTARA"
"379","71","7109","KAB. KEP. SIAU TAGULANDANG BIARO"
"380","71","7110","KAB. BOLAANG MONGONDOW TIMUR"
"381","71","7111","KAB. BOLAANG MONGONDOW SELATAN"
"382","71","7171","KOTA MANADO"
"383","71","7172","KOTA BITUNG"
"384","71","7173","KOTA TOMOHON"
"385","71","7174","KOTA KOTAMOBAGU"
"386","72","7201","KAB. BANGGAI"
"387","72","7202","KAB. POSO"
"388","72","7203","KAB. DONGGALA"
"389","72","7204","KAB. TOLI TOLI"
"390","72","7205","KAB. BUOL"
"391","72","7206","KAB. MOROWALI"
"392","72","7207","KAB. BANGGAI KEPULAUAN"
"393","72","7208","KAB. PARIGI MOUTONG"
"394","72","7209","KAB. TOJO UNA UNA"
"395","72","7210","KAB. SIGI"
"396","72","7211","KAB. BANGGAI LAUT"
"397","72","7212","KAB. MOROWALI UTARA"
"398","72","7271","KOTA PALU"
"399","73","7301","KAB. KEPULAUAN SELAYAR"
"400","73","7302","KAB. BULUKUMBA"
"401","73","7303","KAB. BANTAENG"
"402","73","7304","KAB. JENEPONTO"
"403","73","7305","KAB. TAKALAR"
"404","73","7306","KAB. GOWA"
"405","73","7307","KAB. SINJAI"
"406","73","7308","KAB. BONE"
"407","73","7309","KAB. MAROS"
"408","73","7310","KAB. PANGKAJENE KEPULAUAN"
"409","73","7311","KAB. BARRU"
"410","73","7312","KAB. SOPPENG"
"411","73","7313","KAB. WAJO"
"412","73","7314","KAB. SIDENRENG RAPPANG"
"413","73","7315","KAB. PINRANG"
"414","73","7316","KAB. ENREKANG"
